REAL,PRED_LR,PRED_RF,PRED_XGB
510.625,510.6250000000034,512.11875,511.36267
1000.75,1000.749999999997,1000.68375,1000.4387
964.875,964.8749999999909,964.821875,964.7887
914.625,914.6249999999977,914.62625,916.40106
996.25,996.2500000000043,996.95125,995.94385
222.625,222.62500000000455,222.728125,206.76302
693.625,693.62500000001,694.549375,695.09937
542.375,542.3750000000018,542.375,542.1816
943.75,943.7500000000009,944.074375,944.17035
434.375,434.3749999999958,434.32375,435.10538
584.625,584.6249999999977,584.625,583.1107
824.0,824.0000000000075,824.2325,824.5706
629.125,629.1250000000127,629.1325,629.1492
918.375,918.3750000000134,918.36625,919.6939
648.0,647.9999999999958,648.0,649.53394
912.25,912.2499999999957,912.07625,913.1959
499.5,499.4999999999958,499.5,501.89825
681.75,681.7499999999975,681.67625,683.146
795.875,795.8750000000043,795.875,796.96295
873.25,873.2499999999959,873.291875,870.7442
546.875,546.8749999999993,546.875625,547.65344
801.0,800.9999999999984,800.951875,801.414
373.375,373.3749999999993,373.328125,371.73932
690.25,690.2500000000043,690.25,690.597
1035.625,1035.624999999999,1035.603125,1036.3312
378.25,378.2499999999959,378.22375,376.19226
842.5,842.4999999999986,842.7425,842.9884
839.25,839.25,839.253915,839.97705
775.875,775.875000000003,775.67,777.1916
964.0,964.0000000000041,964.18,963.9751
932.875,932.8750000000132,932.875625,934.8201
1179.75,1179.7500000000095,1178.62375,1177.9303
585.75,585.7499999999957,585.75,586.7101
1013.0,1013.0,1013.1801,1012.05194
